sgRNA	Gene	49117_9
SCRG1_3	SCRG1	13228
ZNF25_4	ZNF25	5943
MSTN_5	MSTN	1644
ATL2_5	ATL2	9980
STC_05284	STC	484
CDON_4	CDON	24051
MIEF2_3	MIEF2	4857
TDRD3_4	TDRD3	21963
KLHL1_5	KLHL1	22486
MPG_1	MPG	8331
P2RX6_5	P2RX6	27007
CDK13_1	CDK13	13014
RPS12_4	RPS12	6656
GRIK3_2	GRIK3	10661
SMIM24_3	SMIM24	1216
NDUFA1_3	NDUFA1	16867
SDS_3	SDS	1480
WDR76_1	WDR76	5133
IAPP_4	IAPP	18684
CDH13_4	CDH13	18161
CAGE1_2	CAGE1	10088
DAG1_1	DAG1	1960
STC_09344	STC	4940
STC_07514	STC	5635
SPINK13_2	SPINK13	15552
TFR2_1	TFR2	12299
SAMHD1_2	SAMHD1	21457
TYROBP_4	TYROBP	52290
NRG2_3	NRG2	7884
TCP11X2_4	TCP11X2	39301
STC_02304	STC	2597
TCF19_5	TCF19	8868
GREM2_4	GREM2	19212
IPPK_1	IPPK	18025
APTX_5	APTX	8272
ZNF264_5	ZNF264	8984
PTGER4_5	PTGER4	19248
OR2K2_2	OR2K2	11529
ADGRA1_2	ADGRA1	6951
NR1I3_1	NR1I3	7552
STC_08385	STC	10313
PHPT1_5	PHPT1	18991
SAMD14_4	SAMD14	27522
TECTA_2	TECTA	18156
HOXC8_5	HOXC8	5904
PTPDC1_3	PTPDC1	37536
TSEN54_2	TSEN54	17917
CMTR1_3	CMTR1	8156
THSD7B_2	THSD7B	7432
ZNF561_4	ZNF561	11776
TRAF4_3	TRAF4	13965
COQ6_1	COQ6	4281
ZNF385C_3	ZNF385C	6460
RBPJL_3	RBPJL	36316
PLCH1_3	PLCH1	6423
ACOX2_3	ACOX2	9089
NSUN2_3	NSUN2	39686
AVPR2_4	AVPR2	22551
GLS2_5	GLS2	11379
LBHD1_2	LBHD1	7566
RBM34_2	RBM34	17605
CPA4_2	CPA4	8544
LCE3B_2	LCE3B	33638
PTGER2_5	PTGER2	19945
SOX12_3	SOX12	48685
MAST3_4	MAST3	18808
STC_04058	STC	13581
GZMH_3	GZMH	3699
SIGLECL1_4	SIGLECL1	10569
TUBE1_4	TUBE1	10362
BARX1_4	BARX1	18867
TMEM88_3	TMEM88	12846
RALBP1_3	RALBP1	5571
CHST11_2	CHST11	17066
TDGF1_1	TDGF1	20591
MRPL17_4	MRPL17	24977
SMURF2_4	SMURF2	8957
ZBTB11_3	ZBTB11	11210
CD93_1	CD93	24595
STC_08786	STC	5054
MED30_5	MED30	17160
BABAM1_3	BABAM1	5184
GTPBP1_5	GTPBP1	25696
EFR3B_2	EFR3B	4713
STC_02374	STC	7292
CHD8_3	CHD8	40275
LAG3_3	LAG3	14900
SOX18_2	SOX18	40894
ACSM1_1	ACSM1	14532
OR2B2_4	OR2B2	12588
CD3EAP_1	CD3EAP	29949
COQ3_1	COQ3	8156
APOE_4	APOE	21783
TNPO3_3	TNPO3	25246
ATP10A_3	ATP10A	7173
TRMT1_3	TRMT1	7390
NCAM1_1	NCAM1	58822
CRHR2_4	CRHR2	5765
RGS11_4	RGS11	26804
BAG6_1	BAG6	5379
MYH9_3	MYH9	10936
C7orf25_4	C7orf25	8544
MS4A1_4	MS4A1	19297
XKR5_1	XKR5	13413
CAMKK1_3	CAMKK1	30535
TBC1D13_5	TBC1D13	27052
C7orf34_4	C7orf34	14408
CPPED1_5	CPPED1	21404
